city,country,longitude,latitude,Temperature F,Humidity %,Cloudiness,Wind Speed mph
Ushuaia,AR,-68.3,-54.8,42.8,81,10000,36.91
Batouri,CM,14.37,4.43,70.95,61,10000,1.74
Salinas,US,-121.66,36.68,46.4,81,10000,2.57
Port Antonio,JM,-76.46,18.18,78.8,78,10000,6.93
Kavieng,PG,150.8,-2.57,85.28,70,10000,6.76
Aklavik,CA,-135.01,68.22,-18.4,75,3011,3.36
Turbat,PK,63.04,26.0,66.38,21,10000,21.54
Haines Junction,CA,-137.51,60.75,10.4,85,8014,2.24
Hermanus,ZA,19.23,-34.42,64.99,75,10000,5.01
Baghdad,IQ,44.4,33.34,53.6,93,1400,4.7
Areia Branca,BR,-37.14,-4.96,76.68,81,10000,11.59
Nikolskoye,RU,30.79,59.7,32.0,98,10000,8.95
Punta Arenas,CL,-70.92,-53.15,48.2,66,10000,44.96
Wajima,JP,136.9,37.4,30.2,92,1500,9.17
Chitral,PK,71.79,35.85,30.97,69,10000,6.78
Agulu,NG,7.07,6.11,78.8,88,10000,3.36
Snyder,US,-100.92,32.72,28.4,68,10000,4.7
Uthal,PK,66.62,25.81,68.79,21,10000,3.67
Andenes,NO,16.12,69.31,33.8,74,10000,14.99
Enköping,SE,17.08,59.64,45.0,87,10000,5.82
Faanui,PF,-151.75,-16.48,80.46,74,10000,20.62
Hilo,US,-155.09,19.73,73.4,88,10000,6.93
Bentiu,SS,29.83,9.23,78.42,18,10000,5.99
Banjar,ID,114.97,-8.19,78.8,94,6000,6.93
Tuatapere,NZ,167.68,-46.13,57.99,95,10000,11.99
Arraial do Cabo,BR,-42.03,-22.97,74.86,94,10000,6.76
Hambantota,LK,81.12,6.12,86.0,70,10000,3.36
East London,ZA,27.91,-33.02,68.0,77,10000,12.75
Mahébourg,MU,57.7,-20.41,80.6,78,10000,17.22
Chokurdakh,RU,147.92,70.63,-21.3,88,3351,3.29
Pandan,PH,124.17,14.05,82.85,75,10000,14.74
Port Hardy,CA,-127.42,50.7,44.6,87,10000,17.22
Saint George,US,-113.58,37.1,36.0,47,10000,4.7
Husavik,IS,-17.34,66.04,35.6,91,10000,14.99
Maiduguri,NG,13.16,11.85,67.93,40,10000,7.85
Ilulissat,GL,-51.1,69.22,26.6,49,10000,10.29
Rikitea,PF,-134.97,-23.12,78.15,69,10000,4.47
Souillac,MU,57.52,-20.52,80.6,78,10000,17.22
Grand-Lahou,CI,-5.02,5.14,78.01,86,10000,5.93
Silver City,US,-108.28,32.77,28.0,58,10000,10.29
Dergachi,RU,48.77,51.23,20.17,96,10000,10.45
Mataura,NZ,168.86,-46.19,57.99,95,545,11.99
Kysyl-Syr,RU,122.76,63.9,-32.82,83,7484,5.99
Lüderitz,NA,15.16,-26.65,60.8,77,10000,9.17
Port Alfred,ZA,26.89,-33.59,70.0,78,10000,5.01
Emilio Carranza,MX,-96.61,19.97,73.17,70,10000,10.96
Butaritari,KI,172.79,3.07,82.62,80,10000,17.85
Naze,JP,129.48,28.37,60.8,82,10000,12.75
Kindu,CD,25.95,-2.95,72.23,95,10000,0.85
Mar del Plata,AR,-57.56,-38.0,55.99,81,10000,4.7
Klaksvík,FO,-6.59,62.23,42.8,100,10000,8.05
Bambous Virieux,MU,57.76,-20.34,82.0,78,10000,17.22
Praia da Vitória,PT,-27.07,38.73,59.0,87,10000,9.19
Taloqan,AF,69.53,36.74,39.04,61,10000,3.27
Kandrian,PG,149.55,-6.22,85.08,69,10000,2.84
Vaini,TO,-175.2,-21.2,77.0,83,10000,17.22
Yellowknife,CA,-114.35,62.46,-38.2,65,10000,6.93
Zavoronezhskoye,RU,40.55,52.88,16.93,97,9600,2.37
Fortuna,US,-124.16,40.6,51.01,94,10000,7.0
Antalaha,MG,50.28,-14.9,84.97,57,10000,4.21
Hong Kong,HK,114.16,22.29,61.0,68,10000,1.99
Niono,ML,-5.99,14.25,70.95,25,10000,8.48
Norman Wells,CA,-126.83,65.28,-18.4,75,10000,12.75
Kosa,RU,55.0,59.94,16.72,97,305,7.9
Upata,VE,-62.4,8.01,75.0,93,10000,1.01
Qaanaaq,GL,-69.36,77.48,3.13,71,10000,8.66
Asău,RO,26.4,46.43,32.0,1,10000,2.75
Cherskiy,RU,161.3,68.75,-21.26,87,5622,7.09
